X,Y,field_1,number,address,Tiger,X4,X5,long,lat,X7,X8,optional,Key,join_UACE10,join_GEOID10,join_NAME10,join_NAMELSAD10,join_LSAD10,join_MTFCC10,join_UATYP10,join_FUNCSTAT10,join_ALAND10,join_AWATER10,join_INTPTLAT10,join_INTPTLON10,join_irwinid,join_mapmethod,join_unitIDProt,join_unitIDOwn,join_incidentID,join_fireName,join_perDatTime,join_comments,join_agency,join_active,join_latest,join_compParID,join_fireYear,join_dateCrnt,join_inciwebId,join_firecode,join_compfirecd,join_fireNum,join_ComplexNm,join_state,join_mergeid,join_inComplex,join_GISACRES,distance
-122.931654,38.389173,1,19,"1935 Bohemian Hwy, Occidental, CA, 95465",No_Match,NA,NA,-122.931653999999990,38.389173000000000,-122.931654,NA,TRUE,OCC01,79498,79498,"Santa Rosa, CA","Santa Rosa, CA Urbanized Area",75,G3500,U,S,253727487,583880,+38.4443783,-122.7406306,{2C61FF85-6DAA-4958-AB36-7D84DDBDA971},Unknown,CALNU,CALNU,2017-CALNU-010045,TUBBS,10/25/2017 9:30:00 PM,"Event Standard Perims; Original Data in LNU Complex but no Irwin link to complex",CDF,Y,Y,,2017,2017/10/26,,LE5R,,010045,,CA,{},N,36807.51753,0.194485974086988
-122.762199,38.504247,2,17,"478 Noonan Ranch Ln, Larkfield-Wikiup, CA, 95403",No_Match,NA,NA,-122.762199000000000,38.504246999999999,NA,NA,TRUE,LKW01,79498,79498,"Santa Rosa, CA","Santa Rosa, CA Urbanized Area",75,G3500,U,S,253727487,583880,+38.4443783,-122.7406306,{2C61FF85-6DAA-4958-AB36-7D84DDBDA971},Unknown,CALNU,CALNU,2017-CALNU-010045,TUBBS,10/25/2017 9:30:00 PM,"Event Standard Perims; Original Data in LNU Complex but no Irwin link to complex",CDF,Y,Y,,2017,2017/10/26,,LE5R,,010045,,CA,{},N,36807.51753,0.0119710119620051
-122.795586,38.424272,3,22,"4993 Occidental Rd, Santa Rosa, CA, 95401",No_Match,NA,NA,-122.795586000000000,38.424272000000002,NA,NA,TRUE,SRO01,79498,79498,"Santa Rosa, CA","Santa Rosa, CA Urbanized Area",75,G3500,U,S,253727487,583880,+38.4443783,-122.7406306,{2C61FF85-6DAA-4958-AB36-7D84DDBDA971},Unknown,CALNU,CALNU,2017-CALNU-010045,TUBBS,10/25/2017 9:30:00 PM,"Event Standard Perims; Original Data in LNU Complex but no Irwin link to complex",CDF,Y,Y,,2017,2017/10/26,,LE5R,,010045,,CA,{},N,36807.51753,0.0616499145481727
-122.661661,38.278485,4,23,"198 Ely Rd N, Petaluma, CA, 94954",No_Match,NA,NA,-122.661661000000000,38.278485000000003,NA,NA,TRUE,PTL01,79498,79498,"Santa Rosa, CA","Santa Rosa, CA Urbanized Area",75,G3500,U,S,253727487,583880,+38.4443783,-122.7406306,{00000000-0000-0000-0000-000000000000},Unknown,CALNU,,2017-CALNU-010049,NUNS,10/25/2017 9:30:00 PM,"Event Standard Perims; No IrwinID available; in LNU Complex but no Irwin link to complex;",State Agency,Y,Y,,2017,2017/10/26,,,,,,CA,{},N,56556.40081,0.141969614586071
-122.7204,38.460484,5,18,"301 Steele Ln, Santa Rosa, CA, 95403",Match,Exact,"301 STEELE LN, SANTA ROSA, CA, 95403",-122.720400000000000,38.460484000000001,67485380,R,TRUE,SRO02,79498,79498,"Santa Rosa, CA","Santa Rosa, CA Urbanized Area",75,G3500,U,S,253727487,583880,+38.4443783,-122.7406306,{2C61FF85-6DAA-4958-AB36-7D84DDBDA971},Unknown,CALNU,CALNU,2017-CALNU-010045,TUBBS,10/25/2017 9:30:00 PM,"Event Standard Perims; Original Data in LNU Complex but no Irwin link to complex",CDF,Y,Y,,2017,2017/10/26,,LE5R,,010045,,CA,{},N,36807.51753,0.0104131903603931
-122.77546,38.454853,6,24,"1422 Forestview Dr, Santa Rosa, CA, 95401",Match,Exact,"1422 FORESTVIEW DR, SANTA ROSA, CA, 95401",-122.775460000000000,38.454853000000000,67517275,R,TRUE,SRO03,79498,79498,"Santa Rosa, CA","Santa Rosa, CA Urbanized Area",75,G3500,U,S,253727487,583880,+38.4443783,-122.7406306,{2C61FF85-6DAA-4958-AB36-7D84DDBDA971},Unknown,CALNU,CALNU,2017-CALNU-010045,TUBBS,10/25/2017 9:30:00 PM,"Event Standard Perims; Original Data in LNU Complex but no Irwin link to complex",CDF,Y,Y,,2017,2017/10/26,,LE5R,,010045,,CA,{},N,36807.51753,0.0262538453874802
-122.83999,38.404736,7,15,"459 Sequoia Ln, Sebastopol, CA, 95472",Match,Exact,"459 SEQUOIA LN, SEBASTOPOL, CA, 95472",-122.839990000000000,38.404736000000000,624288304,L,TRUE,SBP01,79498,79498,"Santa Rosa, CA","Santa Rosa, CA Urbanized Area",75,G3500,U,S,253727487,583880,+38.4443783,-122.7406306,{2C61FF85-6DAA-4958-AB36-7D84DDBDA971},Unknown,CALNU,CALNU,2017-CALNU-010045,TUBBS,10/25/2017 9:30:00 PM,"Event Standard Perims; Original Data in LNU Complex but no Irwin link to complex",CDF,Y,Y,,2017,2017/10/26,,LE5R,,010045,,CA,{},N,36807.51753,0.107909942252357
-122.69032,38.3241,8,25,"8657 Lancaster Dr, Rohnert Park, CA, 94928",Match,Exact,"8657 LANCASTER DR, ROHNERT PARK, CA, 94928",-122.690320000000000,38.324100000000001,67473166,R,TRUE,ROH01,79498,79498,"Santa Rosa, CA","Santa Rosa, CA Urbanized Area",75,G3500,U,S,253727487,583880,+38.4443783,-122.7406306,{00000000-0000-0000-0000-000000000000},Unknown,CALNU,,2017-CALNU-010049,NUNS,10/25/2017 9:30:00 PM,"Event Standard Perims; No IrwinID available; in LNU Complex but no Irwin link to complex;",State Agency,Y,Y,,2017,2017/10/26,,,,,,CA,{},N,56556.40081,0.104360068811466
-122.69176,38.324818,9,16,"8511 Liman Way, Rohnert Park, CA, 94928",Match,Exact,"8511 LIMAN WAY, ROHNERT PARK, CA, 94928",-122.691760000000000,38.324818000000000,67473153,R,TRUE,ROH02,79498,79498,"Santa Rosa, CA","Santa Rosa, CA Urbanized Area",75,G3500,U,S,253727487,583880,+38.4443783,-122.7406306,{00000000-0000-0000-0000-000000000000},Unknown,CALNU,,2017-CALNU-010049,NUNS,10/25/2017 9:30:00 PM,"Event Standard Perims; No IrwinID available; in LNU Complex but no Irwin link to complex;",State Agency,Y,Y,,2017,2017/10/26,,,,,,CA,{},N,56556.40081,0.104285361679869
-122.625114,38.46394,10,26,"885 Wildwood Trail, Santa Rosa, CA, 95409",Match,Exact,"885 WILDWOOD TRL, SANTA ROSA, CA, 95409",-122.625114000000000,38.463940000000001,67508691,L,TRUE,SRO04,79498,79498,"Santa Rosa, CA","Santa Rosa, CA Urbanized Area",75,G3500,U,S,253727487,583880,+38.4443783,-122.7406306,{00000000-0000-0000-0000-000000000000},Unknown,CALNU,,2017-CALNU-010049,NUNS,10/25/2017 9:30:00 PM,"Event Standard Perims; No IrwinID available; in LNU Complex but no Irwin link to complex;",State Agency,Y,Y,,2017,2017/10/26,,,,,,CA,{},N,56556.40081,0.0333142225035211
-122.80717,38.552208,11,13,"901 Adele Dr, Windsor, CA, 95492",Match,Exact,"901 ADELE DR, WINDSOR, CA, 95492",-122.807170000000000,38.552208000000000,67519705,L,TRUE,WND01,79498,79498,"Santa Rosa, CA","Santa Rosa, CA Urbanized Area",75,G3500,U,S,253727487,583880,+38.4443783,-122.7406306,{2C61FF85-6DAA-4958-AB36-7D84DDBDA971},Unknown,CALNU,CALNU,2017-CALNU-010045,TUBBS,10/25/2017 9:30:00 PM,"Event Standard Perims; Original Data in LNU Complex but no Irwin link to complex",CDF,Y,Y,,2017,2017/10/26,,LE5R,,010045,,CA,{},N,36807.51753,0.071883961788163
-122.62175,38.45305,12,27,"6177 Sonoma Hwy, Santa Rosa, CA, 95409",Match,Exact,"6177 SONOMA HWY, SANTA ROSA, CA, 95409",-122.621750000000010,38.453049999999998,604961654,L,TRUE,SRO05,79498,79498,"Santa Rosa, CA","Santa Rosa, CA Urbanized Area",75,G3500,U,S,253727487,583880,+38.4443783,-122.7406306,{00000000-0000-0000-0000-000000000000},Unknown,CALNU,,2017-CALNU-010049,NUNS,10/25/2017 9:30:00 PM,"Event Standard Perims; No IrwinID available; in LNU Complex but no Irwin link to complex;",State Agency,Y,Y,,2017,2017/10/26,,,,,,CA,{},N,56556.40081,0.0222162716688426
-122.76956,38.448532,13,14,"1225 Fulton Rd, Santa Rosa, CA, 95401",Match,Exact,"1225 FULTON RD, SANTA ROSA, CA, 95401",-122.769560000000000,38.448532000000000,67497408,L,TRUE,SRO06,79498,79498,"Santa Rosa, CA","Santa Rosa, CA Urbanized Area",75,G3500,U,S,253727487,583880,+38.4443783,-122.7406306,{2C61FF85-6DAA-4958-AB36-7D84DDBDA971},Unknown,CALNU,CALNU,2017-CALNU-010045,TUBBS,10/25/2017 9:30:00 PM,"Event Standard Perims; Original Data in LNU Complex but no Irwin link to complex",CDF,Y,Y,,2017,2017/10/26,,LE5R,,010045,,CA,{},N,36807.51753,0.0262886174597689
-122.79931,38.372486,14,28,"6024 Fredricks Rd, Sebastopol, CA, 95472",Match,Exact,"6024 FREDRICKS RD, SEBASTOPOL, CA, 95472",-122.799310000000010,38.372486000000002,67466209,R,TRUE,SBP02,79498,79498,"Santa Rosa, CA","Santa Rosa, CA Urbanized Area",75,G3500,U,S,253727487,583880,+38.4443783,-122.7406306,{2C61FF85-6DAA-4958-AB36-7D84DDBDA971},Unknown,CALNU,CALNU,2017-CALNU-010045,TUBBS,10/25/2017 9:30:00 PM,"Event Standard Perims; Original Data in LNU Complex but no Irwin link to complex",CDF,Y,Y,,2017,2017/10/26,,LE5R,,010045,,CA,{},N,36807.51753,0.107182505077898
-122.77461,38.511105,15,11,"651 Airport Blvd, Santa Rosa, CA, 95407",Match,Non_Exact,"651 AIRPORT BLVD, SANTA ROSA, CA, 95403",-122.774610000000000,38.511105000000001,67530102,R,TRUE,SRO07,79498,79498,"Santa Rosa, CA","Santa Rosa, CA Urbanized Area",75,G3500,U,S,253727487,583880,+38.4443783,-122.7406306,{2C61FF85-6DAA-4958-AB36-7D84DDBDA971},Unknown,CALNU,CALNU,2017-CALNU-010045,TUBBS,10/25/2017 9:30:00 PM,"Event Standard Perims; Original Data in LNU Complex but no Irwin link to complex",CDF,Y,Y,,2017,2017/10/26,,LE5R,,010045,,CA,{},N,36807.51753,0.0254807666729052
-122.7042,38.379387,16,29,"245 Mountain View Ave, Santa Rosa, CA,",Match,Exact,"245 MOUNTAIN VIEW AVE, SANTA ROSA, CA, 95407",-122.704200000000000,38.379387000000001,67471958,L,TRUE,SRO08,79498,79498,"Santa Rosa, CA","Santa Rosa, CA Urbanized Area",75,G3500,U,S,253727487,583880,+38.4443783,-122.7406306,{00000000-0000-0000-0000-000000000000},Unknown,CALNU,,2017-CALNU-010049,NUNS,10/25/2017 9:30:00 PM,"Event Standard Perims; No IrwinID available; in LNU Complex but no Irwin link to complex;",State Agency,Y,Y,,2017,2017/10/26,,,,,,CA,{},N,56556.40081,0.0685587836471872
-122.828064,38.40017,17,12,"7450 Bodega Ave, Sebastopol, CA, 95472",Match,Exact,"7450 BODEGA AVE, SEBASTOPOL, CA, 95472",-122.828064000000000,38.400170000000003,67465121,R,TRUE,SBP03,79498,79498,"Santa Rosa, CA","Santa Rosa, CA Urbanized Area",75,G3500,U,S,253727487,583880,+38.4443783,-122.7406306,{2C61FF85-6DAA-4958-AB36-7D84DDBDA971},Unknown,CALNU,CALNU,2017-CALNU-010045,TUBBS,10/25/2017 9:30:00 PM,"Event Standard Perims; Original Data in LNU Complex but no Irwin link to complex",CDF,Y,Y,,2017,2017/10/26,,LE5R,,010045,,CA,{},N,36807.51753,0.101680714007489
-122.801047,38.386102,18,3,"1764 Cooper Rd, Sebastopol, CA, 95472",No_Match,NA,NA,-122.801047000000000,38.386102000000001,NA,NA,TRUE,SBP04,79498,79498,"Santa Rosa, CA","Santa Rosa, CA Urbanized Area",75,G3500,U,S,253727487,583880,+38.4443783,-122.7406306,{2C61FF85-6DAA-4958-AB36-7D84DDBDA971},Unknown,CALNU,CALNU,2017-CALNU-010045,TUBBS,10/25/2017 9:30:00 PM,"Event Standard Perims; Original Data in LNU Complex but no Irwin link to complex",CDF,Y,Y,,2017,2017/10/26,,LE5R,,010045,,CA,{},N,36807.51753,0.095888515663964
-122.62633,38.220924,19,21,"1001 McNear Ave, Petaluma, CA, 94952",Match,Exact,"1001 MCNEAR AVE, PETALUMA, CA, 94952",-122.626330000000000,38.220923999999997,67516657,R,TRUE,PTL02,83008,83008,"Sonoma, CA","Sonoma, CA Urban Cluster",76,G3500,C,S,32189594,0,+38.2991424,-122.4765407,{00000000-0000-0000-0000-000000000000},Unknown,CALNU,,2017-CALNU-010049,NUNS,10/25/2017 9:30:00 PM,"Event Standard Perims; No IrwinID available; in LNU Complex but no Irwin link to complex;",State Agency,Y,Y,,2017,2017/10/26,,,,,,CA,{},N,56556.40081,0.162844627109721
-122.89734,38.379494,20,2,"11871 Bodega Hwy, Sebastopol, CA, 95472",Match,Exact,"11871 BODEGA HWY, SEBASTOPOL, CA, 95472",-122.897340000000000,38.379494000000001,67507037,R,TRUE,SBP05,79498,79498,"Santa Rosa, CA","Santa Rosa, CA Urbanized Area",75,G3500,U,S,253727487,583880,+38.4443783,-122.7406306,{2C61FF85-6DAA-4958-AB36-7D84DDBDA971},Unknown,CALNU,CALNU,2017-CALNU-010045,TUBBS,10/25/2017 9:30:00 PM,"Event Standard Perims; Original Data in LNU Complex but no Irwin link to complex",CDF,Y,Y,,2017,2017/10/26,,LE5R,,010045,,CA,{},N,36807.51753,0.169386770614669
-122.846725,38.583744,21,20,"12295 Old Redwood Hwy, Healdsburg, CA, 95448",Match,Exact,"12295 OLD REDWOOD HWY, HEALDSBURG, CA, 95448",-122.846725000000010,38.583744000000003,67462260,L,TRUE,HLD01,79498,79498,"Santa Rosa, CA","Santa Rosa, CA Urbanized Area",75,G3500,U,S,253727487,583880,+38.4443783,-122.7406306,{2C61FF85-6DAA-4958-AB36-7D84DDBDA971},Unknown,CALNU,CALNU,2017-CALNU-010045,TUBBS,10/25/2017 9:30:00 PM,"Event Standard Perims; Original Data in LNU Complex but no Irwin link to complex",CDF,Y,Y,,2017,2017/10/26,,LE5R,,010045,,CA,{},N,36807.51753,0.122314875855429
-122.70069,38.252895,22,1,"4588 Bodega Ave, Petaluma, CA, 94952",Match,Exact,"4588 BODEGA AVE, PETALUMA, CA, 94952",-122.700689999999990,38.252895000000002,67490564,L,TRUE,PTL03,79498,79498,"Santa Rosa, CA","Santa Rosa, CA Urbanized Area",75,G3500,U,S,253727487,583880,+38.4443783,-122.7406306,{00000000-0000-0000-0000-000000000000},Unknown,CALNU,,2017-CALNU-010049,NUNS,10/25/2017 9:30:00 PM,"Event Standard Perims; No IrwinID available; in LNU Complex but no Irwin link to complex;",State Agency,Y,Y,,2017,2017/10/26,,,,,,CA,{},N,56556.40081,0.174837004410433
-122.83709,38.402252,23,10,"7905 Valentine Ave, Sebastopol, CA, 95472",Match,Exact,"7905 VALENTINE AVE, SEBASTOPOL, CA, 95472",-122.837090000000000,38.402251999999997,67464765,L,TRUE,SBP06,79498,79498,"Santa Rosa, CA","Santa Rosa, CA Urbanized Area",75,G3500,U,S,253727487,583880,+38.4443783,-122.7406306,{2C61FF85-6DAA-4958-AB36-7D84DDBDA971},Unknown,CALNU,CALNU,2017-CALNU-010045,TUBBS,10/25/2017 9:30:00 PM,"Event Standard Perims; Original Data in LNU Complex but no Irwin link to complex",CDF,Y,Y,,2017,2017/10/26,,LE5R,,010045,,CA,{},N,36807.51753,0.107143851436572
-122.67097,38.43874,24,7,"1717 Yulupa Ave, Santa Rosa, CA, 95405",Match,Exact,"1717 YULUPA AVE, SANTA ROSA, CA, 95405",-122.670970000000000,38.438740000000003,67474624,R,TRUE,SRO09,79498,79498,"Santa Rosa, CA","Santa Rosa, CA Urbanized Area",75,G3500,U,S,253727487,583880,+38.4443783,-122.7406306,{00000000-0000-0000-0000-000000000000},Unknown,CALNU,,2017-CALNU-010049,NUNS,10/25/2017 9:30:00 PM,"Event Standard Perims; No IrwinID available; in LNU Complex but no Irwin link to complex;",State Agency,Y,Y,,2017,2017/10/26,,,,,,CA,{},N,56556.40081,0.0279411237719423
-122.72789,38.420914,25,6,"1632 West Ave, Santa Rosa, CA, 95407",Match,Exact,"1632 WEST AVE, SANTA ROSA, CA, 95407",-122.727890000000000,38.420914000000003,617173845,L,TRUE,SRO10,79498,79498,"Santa Rosa, CA","Santa Rosa, CA Urbanized Area",75,G3500,U,S,253727487,583880,+38.4443783,-122.7406306,{2C61FF85-6DAA-4958-AB36-7D84DDBDA971},Unknown,CALNU,CALNU,2017-CALNU-010045,TUBBS,10/25/2017 9:30:00 PM,"Event Standard Perims; Original Data in LNU Complex but no Irwin link to complex",CDF,Y,Y,,2017,2017/10/26,,LE5R,,010045,,CA,{},N,36807.51753,0.0501192340658594
-122.64398,38.246876,26,5,"55 Shasta Ave, Petaluma, CA, 94952",Match,Exact,"55 SHASTA AVE, PETALUMA, CA, 94952",-122.643980000000000,38.246876000000000,67477248,L,TRUE,PTL04,83008,83008,"Sonoma, CA","Sonoma, CA Urban Cluster",76,G3500,C,S,32189594,0,+38.2991424,-122.4765407,{00000000-0000-0000-0000-000000000000},Unknown,CALNU,,2017-CALNU-010049,NUNS,10/25/2017 9:30:00 PM,"Event Standard Perims; No IrwinID available; in LNU Complex but no Irwin link to complex;",State Agency,Y,Y,,2017,2017/10/26,,,,,,CA,{},N,56556.40081,0.154963994630572
-122.90854,38.443447,27,4,"4250 Bones Rd, Sebastopol, CA, 95472",Match,Exact,"4250 BONES RD, SEBASTOPOL, CA, 95472",-122.908540000000000,38.443446999999999,605055914,L,TRUE,SBP07,79498,79498,"Santa Rosa, CA","Santa Rosa, CA Urbanized Area",75,G3500,U,S,253727487,583880,+38.4443783,-122.7406306,{2C61FF85-6DAA-4958-AB36-7D84DDBDA971},Unknown,CALNU,CALNU,2017-CALNU-010045,TUBBS,10/25/2017 9:30:00 PM,"Event Standard Perims; Original Data in LNU Complex but no Irwin link to complex",CDF,Y,Y,,2017,2017/10/26,,LE5R,,010045,,CA,{},N,36807.51753,0.15512798033164
-122.642107,38.261111,28,9,"1425 Sunrise Parkway, Petaluma, CA,",No_Match,NA,NA,-122.642107000000000,38.261111000000000,NA,NA,TRUE,PTL05,83008,83008,"Sonoma, CA","Sonoma, CA Urban Cluster",76,G3500,C,S,32189594,0,+38.2991424,-122.4765407,{00000000-0000-0000-0000-000000000000},Unknown,CALNU,,2017-CALNU-010049,NUNS,10/25/2017 9:30:00 PM,"Event Standard Perims; No IrwinID available; in LNU Complex but no Irwin link to complex;",State Agency,Y,Y,,2017,2017/10/26,,,,,,CA,{},N,56556.40081,0.144123440494592
-122.72802,38.329876,29,8,"1075 Madrone Ave, Cotati, CA, 94931",Match,Exact,"1075 MADRONE AVE, COTATI, CA, 94931",-122.728020000000000,38.329875999999999,639987181,R,TRUE,COT01,79498,79498,"Santa Rosa, CA","Santa Rosa, CA Urbanized Area",75,G3500,U,S,253727487,583880,+38.4443783,-122.7406306,{00000000-0000-0000-0000-000000000000},Unknown,CALNU,,2017-CALNU-010049,NUNS,10/25/2017 9:30:00 PM,"Event Standard Perims; No IrwinID available; in LNU Complex but no Irwin link to complex;",State Agency,Y,Y,,2017,2017/10/26,,,,,,CA,{},N,56556.40081,0.11985062751715
